Year,AnnualRainfall
1998,2524.591260601461
1999,2866.0856758028326
2000,2785.091912794266
2001,2719.188918737113
2002,2207.055967411455
2003,2818.5236136718254
2004,2481.933641970273
2005,2534.4976868472545
2006,2684.5573494009277
2007,3008.7200694137055
2008,3125.312529992084
2009,2766.2329546966353
2010,2890.0714963817127
2011,2945.455577633921
2012,2834.778343034797
2013,2949.7207976057534
2014,2428.3106126599723
2015,2274.238599614087
2016,2536.217456189577
2017,3002.321025847836
2018,2648.593191942784
2019,2214.934929127917
