Year,AnnualRainfall
1998,1094.2744121389787
1999,983.9031019393148
2000,980.0586332623798
2001,938.7478689907122
2002,868.6448884883047
2003,1011.9452639192864
2004,982.3534634780501
2005,936.8708947673445
2006,858.3426559250734
2007,1022.2976164995451
2008,1019.9315076988408
2009,802.2326260654943
2010,1045.5791095087664
2011,1011.3127951179291
2012,958.447811801546
2013,1043.9753481544967
2014,906.9759056026982
2015,960.7812155598677
2016,935.2925524043926
2017,965.4921652793387
2018,890.7106176766288
2019,967.9644610815534
