Year,AnnualRainfall
1998,1513.416078146288
1999,1391.36277599236
2000,1421.7056832568205
2001,1427.2260320205285
2002,1340.2433713992446
2003,1418.7186768495726
2004,1382.1064774967222
2005,1704.1379196492655
2006,1505.9137764827458
2007,1531.8121970276484
2008,1538.0369030751415
2009,1340.903352714545
2010,1820.6431770653396
2011,1461.1098731722643
2012,1278.190130724062
2013,1624.8298283321456
2014,1512.6675957340906
2015,1499.764685694424
2016,1201.5880092970322
2017,1476.106721812387
2018,1357.2204074164047
2019,1379.0043841652782
