Year,AnnualRainfall
1998,1141.2055085960792
1999,1081.7966263085814
2000,764.8698093468536
2001,952.0006846906389
2002,819.9227693317472
2003,1197.5231862479302
2004,1043.6198290219254
2005,1234.297376074308
2006,1264.9440889035777
2007,1167.0084454177334
2008,1016.2742094571744
2009,978.4292402333818
2010,1175.396162527156
2011,1209.7150437627374
2012,1072.2753777782002
2013,1425.60094455879
2014,1010.0072218221526
2015,1080.0065383057386
2016,1078.1230821289785
2017,927.4657418881488
2018,855.3666573051527
2019,1330.4110526686375
