Year,AnnualRainfall
1998,2677.015120479583
1999,2762.329507780399
2000,2727.0362815367876
2001,2578.15914768336
2002,1961.1751097731494
2003,2358.089732753712
2004,2166.619073263259
2005,2500.81225876573
2006,2255.827368386419
2007,2551.3733424864427
2008,2822.42083056968
2009,2369.7155854206444
2010,3038.7273498402037
2011,2652.811512607434
2012,2600.0775285334944
2013,2953.8594814153603
2014,2291.8935114991177
2015,1826.0785668208541
2016,2751.9832519387287
2017,2885.7071836396262
2018,2345.122603975124
2019,1923.1921181430375
