Year,AnnualRainfall
1998,1935.939051858731
1999,2405.552487768216
2000,2292.4863738222843
2001,2223.2463883124074
2002,2044.0174523719784
2003,2018.7094066696811
2004,1892.875134777713
2005,2099.8397252932273
2006,2147.573454722727
2007,2134.356807907994
2008,2259.6971444805376
2009,2025.5275779500275
2010,2067.1124532705135
2011,2315.955434425782
2012,2148.5583592667836
2013,2218.700823307122
2014,1963.5357015496397
2015,1860.9575884147848
2016,2102.1737455968137
2017,2427.490068788154
2018,2191.436435861924
2019,1910.6258654575847
