Year,Month,SpatialAverage,Date,LongTermMean,Anomaly
1998,1,0.0399791708848123,1998-01-01,0.012269726556419515,0.027709444328392785
1998,2,0.0116927288503067,1998-02-01,0.016224724516192654,-0.0045319956658859545
1998,3,0.025101462420679,1998-03-01,0.014977124689847677,0.010124337730831323
1998,4,0.0116765555065355,1998-04-01,0.010633730393153792,0.0010428251133817075
1998,5,0.0095115150405641,1998-05-01,0.018179162954711916,-0.008667647914147815
1998,6,0.1570818811194581,1998-06-01,0.20768540413068762,-0.05060352301122953
1998,7,0.4227960100431034,1998-07-01,0.47307296712332064,-0.05027695708021723
1998,8,0.3085763607992611,1998-08-01,0.38380831288385103,-0.07523195208458994
1998,9,0.4193457143238916,1998-09-01,0.27019254056469216,0.14915317375919945
1998,10,0.1099275661317734,1998-10-01,0.05011138196245967,0.05981618416931373
1998,11,0.0394248456230312,1998-11-01,0.012122845226651678,0.027302000396379526
1998,12,0.0001389862875665,1998-12-01,0.0040508458853906505,-0.003911859597824151
1999,1,0.002793859716175,1999-01-01,0.012269726556419515,-0.009475866840244514
1999,2,0.0320503113806847,1999-02-01,0.016224724516192654,0.015825586864492043
1999,3,0.0011832561786336,1999-03-01,0.014977124689847677,-0.013793868511214077
1999,4,0.0011026004499436,1999-04-01,0.010633730393153792,-0.009531129943210192
1999,5,0.0325964105819167,1999-05-01,0.018179162954711916,0.014417247627204786
1999,6,0.2224817087358374,1999-06-01,0.20768540413068762,0.014796304605149774
1999,7,0.3797047631761083,1999-07-01,0.47307296712332064,-0.09336820394721235
1999,8,0.2871771563285406,1999-08-01,0.38380831288385103,-0.09663115655531046
1999,9,0.3798219889679803,1999-09-01,0.27019254056469216,0.10962944840328814
1999,10,0.1352498577413793,1999-10-01,0.05011138196245967,0.08513847577891961
1999,11,0.0023956769811136,1999-11-01,0.012122845226651678,-0.009727168245538079
1999,12,0.0001137755294661,1999-12-01,0.0040508458853906505,-0.00393707035592455
2000,1,0.0037921978735063,2000-01-01,0.012269726556419515,-0.008477528682913214
2000,2,0.0113983552525395,2000-02-01,0.016224724516192654,-0.004826369263653154
2000,3,0.0018597389309162,2000-03-01,0.014977124689847677,-0.013117385758931477
2000,4,0.0026714185528822,2000-04-01,0.010633730393153792,-0.007962311840271592
2000,5,0.0381022068502794,2000-05-01,0.018179162954711916,0.019923043895567486
2000,6,0.1834888964731896,2000-06-01,0.20768540413068762,-0.024196507657498006
2000,7,0.4623620143349753,2000-07-01,0.47307296712332064,-0.01071095278834533
2000,8,0.2092726379679803,2000-08-01,0.38380831288385103,-0.17453567491587074
2000,9,0.112298946292229,2000-09-01,0.27019254056469216,-0.15789359427246316
2000,10,0.0102316961933493,2000-10-01,0.05011138196245967,-0.03987968576911037
2000,11,0.0017477255961541,2000-11-01,0.012122845226651678,-0.010375119630497578
2000,12,0.0012444588068944,2000-12-01,0.0040508458853906505,-0.0028063870784962508
2001,1,0.0038238190206437,2001-01-01,0.012269726556419515,-0.008445907535775815
2001,2,0.0040447549101949,2001-02-01,0.016224724516192654,-0.012179969605997754
2001,3,0.0158427016530839,2001-03-01,0.014977124689847677,0.0008655769632362233
2001,4,0.017528873439315,2001-04-01,0.010633730393153792,0.00689514304616121
2001,5,0.036887222206761,2001-05-01,0.018179162954711916,0.018708059252049086
2001,6,0.3274556056982758,2001-06-01,0.20768540413068762,0.11977020156758819
2001,7,0.4211630330763546,2001-07-01,0.47307296712332064,-0.05190993404696603
2001,8,0.2859245669051724,2001-08-01,0.38380831288385103,-0.09788374597867866
2001,9,0.0868625720805517,2001-09-01,0.27019254056469216,-0.18332996848414046
2001,10,0.0917282907954285,2001-10-01,0.05011138196245967,0.041616908832968834
2001,11,0.0025063458690283,2001-11-01,0.012122845226651678,-0.00961649935762338
2001,12,0.000205854901998,2001-12-01,0.0040508458853906505,-0.0038449909833926507
2002,1,0.0075417714911879,2002-01-01,0.012269726556419515,-0.004727955065231614
2002,2,0.0235727478766155,2002-02-01,0.016224724516192654,0.0073480233604228465
2002,3,0.0133217441217469,2002-03-01,0.014977124689847677,-0.0016553805681007762
2002,4,0.0058466571487381,2002-04-01,0.010633730393153792,-0.004787073244415692
2002,5,0.0167823054250062,2002-05-01,0.018179162954711916,-0.0013968575297057147
2002,6,0.2543451607167488,2002-06-01,0.20768540413068762,0.04665975658606117
2002,7,0.1387181048700738,2002-07-01,0.47307296712332064,-0.33435486225324684
2002,8,0.4483092506650246,2002-08-01,0.38380831288385103,0.06450093778117355
2002,9,0.1837520997221675,2002-09-01,0.27019254056469216,-0.08644044084252467
2002,10,0.0219615740200899,2002-10-01,0.05011138196245967,-0.02814980794236977
2002,11,0.0039601388856876,2002-11-01,0.012122845226651678,-0.008162706340964079
2002,12,0.0006649296459236,2002-12-01,0.0040508458853906505,-0.0033859162394670505
2003,1,0.002967692932789,2003-01-01,0.012269726556419515,-0.009302033623630515
2003,2,0.0523429890200314,2003-02-01,0.016224724516192654,0.036118264503838746
2003,3,0.0158617075205215,2003-03-01,0.014977124689847677,0.0008845828306738232
2003,4,0.0064685343291268,2003-04-01,0.010633730393153792,-0.0041651960640269915
2003,5,0.0008814491856381,2003-05-01,0.018179162954711916,-0.017297713769073814
2003,6,0.2420872027253694,2003-06-01,0.20768540413068762,0.03440179859468179
2003,7,0.4758881866009852,2003-07-01,0.47307296712332064,0.0028152194776645545
2003,8,0.4247237173472906,2003-08-01,0.38380831288385103,0.04091540446343955
2003,9,0.3564753912362068,2003-09-01,0.27019254056469216,0.08628285067151464
